%time,field.data
1749302442571763699,2.0
1749302442581738040,2.0
1749302442591717694,2.0
1749302442601670584,2.0
1749302442611637871,2.0
1749302442621588084,2.0
1749302442631616208,2.0
1749302442641806792,2.0
1749302442651659706,2.0
1749302442661722938,2.0
1749302442671663572,2.0
1749302442681667323,2.0
1749302442691640346,2.0
1749302442701693933,2.0
1749302442711569136,2.0
1749302442721678250,2.0
1749302442731612358,2.0
1749302442741660208,2.0
1749302442751607043,2.0
1749302442761700003,2.0
1749302442771668540,2.0
1749302442781749935,2.0
1749302442791650998,2.0
1749302442801728428,2.0
1749302442811681320,2.0
1749302442821677737,2.0
1749302442831631543,2.0
1749302442841605955,2.0
1749302442851620471,2.0
1749302442861681717,2.0
1749302442871632198,2.0
1749302442881611793,2.0
1749302442891745680,2.0
1749302442901582536,2.0
1749302442911557193,2.0
1749302442921699892,2.0
1749302442931591506,2.0
1749302442941605886,2.0
1749302442951599487,2.0
1749302442961590928,2.0
1749302442971621372,2.0
1749302442981675657,2.0
1749302442991552449,2.0
1749302443001691927,2.0
1749302443011568357,2.0
1749302443021577697,2.0
1749302443031556275,2.0
1749302443041573044,2.0
1749302443051598087,2.0
1749302443061631281,2.0
1749302443071577660,2.0
1749302443081607919,2.0
1749302443091567239,2.0
1749302443101608869,2.0
1749302443111563134,2.0
1749302443121593705,2.0
1749302443131626730,2.0
1749302443141618224,2.0
1749302443151591008,2.0
1749302443161664840,2.0
1749302443171652575,2.0
1749302443181666645,2.0
1749302443191618304,2.0
1749302443201626800,2.0
1749302443211594308,2.0
1749302443221682171,2.0
1749302443231637604,2.0
1749302443241680689,2.0
1749302443251727010,2.0
1749302443261724553,2.0
1749302443271740338,2.0
1749302443281733571,2.0
1749302443291641013,2.0
1749302443301600255,2.0
1749302443311643602,2.0
1749302443321624726,2.0
1749302443331572986,2.0
1749302443341633366,2.0
1749302443351653714,2.0
1749302443361706771,2.0
1749302443371690697,2.0
1749302443381741292,2.0
1749302443391600127,2.0
1749302443401641894,2.0
1749302443411667249,2.0
1749302443421769225,2.0
1749302443431641682,2.0
1749302443441689760,2.0
1749302443451676243,2.0
1749302443461654833,2.0
1749302443471779568,2.0
1749302443481790607,2.0
1749302443491609787,2.0
1749302443501649436,2.0
1749302443511654182,2.0
1749302443521664863,2.0
1749302443531735286,2.0
1749302443541628636,2.0
1749302443551604136,2.0
1749302443561608641,2.0
1749302443571701588,2.0
1749302443581578215,2.0
1749302443591559258,2.0
1749302443601545102,2.0
1749302443611557881,2.0
1749302443621643029,2.0
1749302443631569731,2.0
1749302443641648464,2.0
1749302443651599554,2.0
1749302443661747934,2.0
1749302443671572198,2.0
1749302443681713836,2.0
1749302443691662146,2.0
1749302443701745033,2.0
1749302443711601516,2.0
1749302443721616925,2.0
1749302443731554235,2.0
1749302443741667502,2.0
1749302443751676615,2.0
1749302443761638708,2.0
1749302443771576139,2.0
1749302443781585589,2.0
1749302443791549279,2.0
1749302443801581115,2.0
1749302443811590207,2.0
1749302443821677649,2.0
1749302443831606946,2.0
1749302443841909469,2.0
1749302443851877444,2.0
1749302443861724861,2.0
1749302443871618660,2.0
1749302443881707980,2.0
1749302443891603082,2.0
1749302443901719257,2.0
1749302443911739405,2.0
1749302443921713935,2.0
1749302443931788603,2.0
1749302443941692254,2.0
1749302443951638380,2.0
1749302443961680709,2.0
1749302443971641000,2.0
1749302443981575297,2.0
1749302443991617090,2.0
1749302444001669140,2.0
1749302444011537994,2.0
